viral,interactions_count,perm_3_days,perm_4_days,Cadherin-5_score,Cadherin-2_score,Cadherin-3_score,Cadherin-4_score,Catenin delta 1_score,Cateninβ  _score,α Catenin _score,Occludin_score,Claudin-5_score,ZO-1_score,ZO-2_score,ZO-3_score
nsp7,32,111.9,104.6,0.002569120667626238,0.002840256114442618,0.0027040905977752457,0.0006269205493163677,0.0032546966125559075,0.007876205693958277,0.0038623965620325686,0.002695127417959329,0.0010801702652930428,0.0036967624042958617,0.0027551976034711615,0.000792745874593435
nsp8,24,133.65,129.3,0.0016768267167321337,0.0020883304286692383,0.0008471921799806929,0.0004537235236463186,0.002314580565260417,0.006313528778554093,0.0024774049767677738,0.0015688595728935103,0.0005349156995926526,0.0025878894979537936,0.0029114720348155086,0.000548846130179529
nsp9,16,128.7,124.1,0.0010237315006557607,0.0010901759789551455,0.00047611160342507335,0.00023614427970168638,0.001289907638747046,0.003477550277298053,0.001443965296971704,0.0012484599382966964,0.00031848564249515086,0.001630989738323367,0.0013499970508625678,0.00034746559326924057
orf10,9,141.6,136.9,0.0007694166974346199,0.0009282015567930044,0.0004377011056669683,0.00019580949552831898,0.0014406454409231803,0.0031104874143730796,0.0016956662571363038,0.0007150205308036324,0.00024675832842413616,0.0011348797138421103,0.0009608777536518027,0.0002514070270854548
orf3a,8,142.0,133.6,0.00041879107235386445,0.0004440954084448345,0.0002288795808945668,9.591963835796081e-05,0.0005443146560775505,0.0012708355182866073,0.0005746623239789767,0.0005286829896823989,0.0003258699446601809,0.0011941280942192726,0.0004914781324686603,0.00014564260764260317
orf3b,1,131.0,124.9,8.510191081099359e-05,0.00010932172967776325,4.1165929094636455e-05,1.9851219080766763e-05,0.00011751910382604722,0.0002912420086561643,0.00013073751856732612,8.02986362079823e-05,3.0598939750662745e-05,0.0001291239525144843,9.71625118421636e-05,3.3158051512743835e-05
orf6,3,128.4,127.1,0.0002479199996507634,0.0002805795868929614,0.0001237417032829414,6.332291065202242e-05,0.0003345495405832024,0.0012596898587445592,0.0003850264849501816,0.0002525780141270135,0.0001172778158290849,0.0008184738963475865,0.0007930522071295181,9.354774630048763e-05
orf7a,2,115.0,125.6,0.00012412823204693938,0.00013136328529931462,5.614617279609316e-05,3.016946224453525e-05,0.00018083409336092885,0.000399120740095679,0.0001774370693506271,0.00015085175597028447,4.320617243345165e-05,0.00017637840098270953,0.00013845209707417073,3.6770292606822536e-05
orf8,47,139.7,136.6,0.0027199894252349804,0.003100047350662293,0.0012003451856379996,0.0005287106329605394,0.0030820954081535405,0.007753577398813948,0.0032335222304955414,0.002701271777374947,0.0011686289221147176,0.005008131959933564,0.0026861466681787805,0.0007783715821295905
orf9b,11,140.6,134.8,0.0008300234782524735,0.0019933308963528975,0.0004137891189748666,0.00020070419453904227,0.001058721444482653,0.0026290583778602206,0.001081748510591337,0.0007118187016471464,0.00023579461541268443,0.001080803520661316,0.0009910459806414024,0.0002533283346291167
orf9c,26,143.9,128.8,0.001417227752486128,0.0013543639704001666,0.0006857064545416787,0.00030356776948366676,0.0016586797509874844,0.0038715216464024027,0.0021760915713455813,0.0033311555875714244,0.0021939090206887944,0.0020778641910823175,0.0013721971547588081,0.00039056842648490354
