viral,Preys,PreyGene,MIST,Saint_BFDR,AvgSpec,FoldChange,Uniprot Protein ID
Spike,Q7Z5G4,GOLGA7,0.978892719,0.05,2,20,GOGA7_HUMAN
Spike,Q9C0B5,ZDHHC5,0.982389013,0,6,60,ZDHC5_HUMAN
nsp1,P09884,POLA1,0.981264591,0,3.33,33.33,DPOLA_HUMAN
nsp1,P49642,PRIM1,0.981268688,0,3.33,33.33,PRI1_HUMAN
nsp1,P49643,PRIM2,0.993975192,0,4.67,46.67,PRI2_HUMAN
nsp1,Q14181,POLA2,0.943678488,0.03,4,40,DPOA2_HUMAN
nsp1,Q8NBJ5,COLGALT1,0.794123974,0,7.33,73.33,GT251_HUMAN
nsp1,Q99959,PKP2,0.964585351,0,43,430,PKP2_HUMAN
nsp10,O94973,AP2A2,0.99112813,0,5.67,56.67,AP2A2_HUMAN
nsp10,P55789,GFER,0.965372815,0,4.67,46.67,ALR_HUMAN
nsp10,Q969X5,ERGIC1,0.912239515,0,14.67,146.67,ERGI1_HUMAN
nsp10,Q96CW1,AP2M1,0.982905884,0,3,30,AP2M1_HUMAN
nsp10,Q9HAV7,GRPEL1,0.986587081,0,2.67,26.67,GRPE1_HUMAN
nsp11,O75347,TBCA,0.768344701,0.01,2.67,14.67,TBCA_HUMAN
nsp12,A3KN83,SBNO1,0.969888009,0,15,150,SBNO1_HUMAN
nsp12,O14874,BCKDK,0.98581764,0,8.33,83.33,BCKD_HUMAN
nsp12,O43823,AKAP8,0.717059992,0.05,2.67,26.67,AKAP8_HUMAN
nsp12,O75592,MYCBP2,0.987452704,0,6.33,63.33,MYCB2_HUMAN
nsp12,O95391,SLU7,0.989493635,0,14.33,143.33,SLU7_HUMAN
nsp12,Q13546,RIPK1,0.9818645,0,8,80,RIPK1_HUMAN
nsp12,Q14157,UBAP2L,0.791211852,0,15.33,153.33,UBP2L_HUMAN
nsp12,Q2T9J0,TYSND1,0.993449369,0,11.33,113.33,TYSD1_HUMAN
nsp12,Q5EBL8,PDZD11,0.961171536,0.05,2,20,PDZ11_HUMAN
nsp12,Q5JSZ5,PRRC2B,0.843969576,0,9,33,PRC2B_HUMAN
nsp12,Q5T6F2,UBAP2,0.89261208,0,9.33,93.33,UBAP2_HUMAN
nsp12,Q5VUA4,ZNF318,0.993695111,0,9.67,96.67,ZN318_HUMAN
nsp12,Q6UUV7,CRTC3,0.991104307,0,7.67,76.67,CRTC3_HUMAN
nsp12,Q70EL1,USP54,0.980964951,0,4.33,43.33,UBP54_HUMAN
nsp12,Q8IWR0,ZC3H7A,0.980817495,0,36,360,Z3H7A_HUMAN
nsp12,Q92615,LARP4B,0.983254345,0,8,80,LAR4B_HUMAN
nsp12,Q96IZ5,RBM41,0.96685652,0.05,2,20,RBM41_HUMAN
