dnmf_L0,MU_L0,dnmf_L1,MU_L1,dnmf_L2,MU_L2
445421.1875,202012.6488166633,290900.21875,143383.1760272103,301893.65625,91319.47970882423
442805.03125,201739.7876004797,295550.03125,143303.92309144748,287081.53125,91174.22035984199
439849.3125,201476.78776719182,299477.75,143228.04717078473,274944.375,91036.41221901706
436767.3125,201224.82877818972,302728.03125,143155.28721222412,265823.1875,90905.0956603805
434182.9375,200984.82144251736,305417.53125,143085.42923358735,259869.65625,90779.43274697081
431937.875,200757.88229575285,307498.0625,143018.29600345847,256925.390625,90658.69143054988
429383.125,200545.38361697187,308758.0625,142953.73827266536,256503.265625,90542.2317902022
426631.34375,200348.38137056192,309298.78125,142891.62755792105,256911.359375,90429.49420563721
423793.65625,200166.90918398832,309137.84375,142831.85038054956,258463.859375,90319.98926405697
420876.6875,199999.84285767697,308310.875,142774.30379764742,260711.78125,90213.28916011086
417812.8125,199845.40352495172,306875.03125,142718.89203061681,262500.25,90109.02034755256
414726.6875,199701.78427376365,304894.4375,142665.52399159837,264097.28125,90006.85722246396
411636.25,199567.50919316054,302445.75,142614.1115241692,265862.90625,89906.51664928308
408697.75,199441.5080973714,299616.5,142564.56820265323,267236.84375,89807.7531745262
406040.375,199323.0444060272,296297.4375,142516.80856717814,268050.0625,89710.3548045533
403401.1875,199211.60300855228,292712.1875,142470.74770295306,268428.78125,89614.13925084975
400762.75,199106.78609852548,288978.40625,142426.30109698686,268350.53125,89518.95056849638
398139.9375,199008.23318537013,285251.59375,142383.3847201584,267814.09375,89424.65613093633
395525.5625,198915.56987438494,281815.59375,142341.91528640763,266837.59375,89331.14389747934
392936.6875,198828.38502879938,278532.125,142301.81063657932,265450.65625,89238.31993989387
390388.15625,198746.23179781678,275450.1875,142262.99018800352,263692.4375,89146.10620169606
387942.71875,198668.64442526124,272608.4375,142225.37538890296,261607.890625,89054.43846895073
385733.6875,198595.16117137022,269990.75,142188.8901235865,259245.78125,88963.26453510896
383172.6875,198525.3448903251,267602.21875,142153.4610300299,256657.28125,88872.54254502467
380673.40625,198458.79617887872,265383.75,142119.0177118821,253896.59375,88782.23950513935
378370.03125,198395.15792947012,263417.3125,142085.49284658613,251005.5,88692.32994813813
376270.6875,198334.11303883858,261558.21875,142052.82220581442,248013.328125,88602.79474132524
374366.96875,198275.37826268014,259663.34375,142020.9446119177,244970.421875,88513.62002865823
372659.96875,198218.6970155772,257903.125,141989.80185513198,241859.328125,88424.7962968938
371159.40625,198163.83299048807,256261.609375,141959.33859281646,238689.28125,88336.31755668903
369846.25,198110.56545572358,254597.03125,141929.50224626268,235561.765625,88248.18062979475
368670.375,198058.68633139605,253013.46875,141900.24290450744,232518.640625,88160.38453371126
366889.1875,198007.99873201665,251434.609375,141871.5132393125,229582.28125,88072.92995535904
364701.65625,197958.3165183646,249737.5625,141843.26843159198,226662.0625,87985.81880548284
362336.0,197909.46442110153,248093.609375,141815.46610714213,223858.4375,87899.05384566712
359697.09375,197861.27838978427,246508.515625,141788.06627832731,221225.96875,87812.63838004152
356630.5625,197813.60592662968,244971.234375,141761.0312880616,218847.8125,87726.57600398091
353108.1875,197766.30625630636,243491.078125,141734.32575265624,216608.96875,87640.87040242118
348908.625,197719.2502519915,242066.8125,141707.91650061775,214551.546875,87555.52519078345
343847.5,197672.3200854019,240698.53125,141681.77250509636,212609.03125,87470.54379196414
337689.75,197625.40860106173,239386.203125,141655.8648082988,210774.5,87385.9293433789
330069.65625,197578.41844075342,238129.21875,141630.16643678478,209095.515625,87301.68462864222
320776.96875,197531.2609689505,236925.046875,141604.65230715185,207529.984375,87217.81202909836
309486.09375,197483.85507505763,235749.03125,141579.299122216,205984.921875,87134.31349107524
295677.4375,197436.12594815993,234670.78125,141554.08525842743,204507.671875,87051.19050538434
280632.125,197388.0039260674,233680.84375,141528.99064590954,203147.890625,86968.44409621887
266477.8125,197339.4235077304,232743.046875,141503.99664313294,201903.65625,86886.07481719067
255494.171875,197290.32259164553,231866.21875,141479.08590877953,200732.0,86804.0827527732
251804.53125,197240.64197763545,231055.28125,141454.24227372513,199621.5,86722.4675238846
255540.609375,197190.32516223754,230310.296875,141429.45061622033,198575.078125,86641.22829672766
262029.90625,197139.3184774126,229626.0625,141404.6967432248,197598.4375,86560.36379431657
272223.71875,197087.57166313424,229010.0,141379.96728047277,196686.0625,86479.87231035171
278521.15625,197035.03900909718,228443.984375,141355.24957322422,195833.125,86399.75172526596
286059.0,196981.68122380937,227930.71875,141330.53159891622,195034.875,86319.99952435229
291175.875,196927.46816069813,227478.203125,141305.80189211786,194288.671875,86240.61281792594
295652.5625,196872.38241932855,227082.546875,141281.0494814577,193591.15625,86161.58836345102
298154.375,196816.42362089714,226728.546875,141256.26383757754,192939.078125,86082.92258951301
299333.15625,196759.61283142868,226418.65625,141231.43483074964,192331.5,86004.61162144583
299701.03125,196701.99622677945,226161.9375,141206.5526965702,191769.671875,85926.65130833116
298899.3125,196643.64678959997,225956.90625,141181.60800810633,191248.671875,85849.03725101353
297179.625,196584.66279425807,225834.546875,141156.5916529907,190769.578125,85771.76483070379
294637.875,196525.16225738113,225725.875,141131.49481416252,190334.75,85694.82923772304
291020.5,196465.27345232308,225656.78125,141106.3089532221,189937.6875,85618.22549994274
287107.40625,196405.12278392454,225604.171875,141081.02579562744,189580.984375,85541.94851055228
283016.8125,196344.8223232207,225534.0625,141055.6373172139,189257.515625,85465.99305489504
278796.1875,196284.45960646437,225504.5,141030.13573171783,188960.84375,85390.35383629112
274461.3125,196224.09169330276,225507.4375,141004.51347914222,188698.640625,85315.025500968
270282.15625,196163.74420304477,225642.296875,140978.76321491066,188471.5625,85240.00266243308
266023.625,196103.41467979085,225707.75,140952.87779982248,188277.71875,85165.27992581985
261756.1875,196043.07872409013,225742.078125,140926.850290849,188062.359375,85090.8519128563
257601.28125,195982.6971015321,225790.859375,140900.6739328257,187872.328125,85016.71328813257
253799.328125,195922.2223756313,225847.34375,140874.34215108017,187692.65625,84942.8587872137
250264.65625,195861.6042121667,225911.34375,140847.84854501658,187540.09375,84869.28324688588
247035.71875,195800.7930860353,225977.65625,140821.18688265674,187418.75,84795.9816374148
244199.171875,195739.74253815738,226037.96875,140794.35109611094,187323.296875,84722.94909622536
241662.8125,195678.4103511458,226087.859375,140767.33527792594,187260.328125,84650.18096193424
239449.828125,195616.75907996602,226142.28125,140740.13367824035,187215.640625,84577.67280728096
237517.28125,195554.75634602885,226200.78125,140712.7407026557,187189.359375,84505.42046929237
235852.109375,195492.37522601275,226255.1875,140685.15091071726,187180.09375,84433.42007502631
234526.75,195429.59496524688,226303.4375,140657.35901488972,187200.0,84361.66806147911
233683.234375,195366.40212796096,226345.65625,140629.35987989913,187253.09375,84290.16118867234
233001.6875,195302.7921633266,226385.390625,140601.1485223112,187358.5,84218.896545476
232398.8125,195238.7712193523,226418.953125,140572.72011020975,187462.28125,84147.8715482983
231940.875,195174.3578899854,226442.4375,140544.06996283663,187554.828125,84077.0839332745
231582.09375,195109.5844645386,226453.796875,140515.19355005905,187664.53125,84006.53174297324
